10,11:28:00,20.06.2026,misc.
21,11:28:04,20.06.2026,misc.
49,11:28:08,20.06.2026,misc.
11,11:28:04,21.06.2026,misc.
49,11:28:08,21.06.2026,misc.
50,11:28:00,22.06.2026,misc.
1,11:28:04,22.06.2026,misc.
1,11:28:08,22.06.2026,misc.
9,11:28:08,21.06.2026,misc.
10,11:28:00,21.06.2026,misc.
21,11:28:04,22.06.2026,misc.
49,11:28:08,23.06.2026,misc.
11,11:28:04,23.06.2026,misc.
49,11:28:08,24.06.2026,misc.
50,11:28:00,24.06.2026,misc.
1,11:28:04,25.06.2026,misc.
1,11:28:08,24.06.2026,misc.
9,11:28:08,25.06.2026,misc.
