10,11:28:00,20.05.2026,food
21,11:28:04,20.05.2026,transport
49,11:28:08,20.05.2026,entertainment
11,11:28:04,21.05.2026,food
49,11:28:08,21.05.2026,transport
50,11:28:00,22.05.2026,entertainment
1,11:28:04,22.05.2026,food
99,11:28:08,22.05.2026,transport
9,11:28:08,21.05.2026,misc.
12,11:28:08,21.05.2026,misc.
10,11:28:00,21.05.2026,misc.
21,11:28:04,22.05.2026,misc.
44,11:28:08,23.05.2026,misc.
11,11:28:04,23.05.2026,misc.
49,11:28:08,24.05.2026,misc.
50,11:28:00,24.05.2026,misc.
1,11:28:04,25.05.2026,misc.
1,11:28:08,24.05.2026,misc.
9,11:28:08,25.05.2026,misc.
55,09:20:36,12.05.2026,misc.
21.0,10:47:28,12.05.2026,misc.
52.0,10:48:13,11.05.2026,misc.
67.0,14:03:12,12.05.2026,misc.
76.0,14:10:45,12.05.2026,misc.
43,15:13:57,18.05.2026,temp
7.99,15:20:29,18.05.2026,apple
13,09:49:03,19.05.2026,food
21,09:49:45,19.05.2026,misc.
59,09:48:35,27.05.2026,temp
