10,11:28:00,20,20.05.2026,Food
21,11:28:04,20,20.05.2026,Transport
49,11:28:08,20,20.05.2026,Entertainment
11,11:28:04,21,21.05.2026,Food
49,11:28:08,21,21.05.2026,Transport
50,11:28:00,22,22.05.2026,Entertainment
1,11:28:04,22,22.05.2026,Food
99,11:28:08,22,22.05.2026,Transport
9,11:28:08,21,21.05.2026,null
12,11:28:08,21,21.05.2026,null
10,11:28:00,21,21.05.2026,null
21,11:28:04,22,22.05.2026,null
44,11:28:08,23,23.05.2026,null
11,11:28:04,23,23.05.2026,null
49,11:28:08,24,24.05.2026,null
50,11:28:00,24,24.05.2026,null
1,11:28:04,25,25.05.2026,null
1,11:28:08,24,24.05.2026,null
9,11:28:08,25,25.05.2026,null
55,09:20:36,12,12.05.2026,null
21.0,10:47:28,12,12.05.2026,null
52.0,10:48:13,11,11.05.2026,null
67.0,14:03:12,12,12.05.2026,null
76.0,14:10:45,12,12.05.2026,null
43,15:13:57,18,18.05.2026,temp
7.99,15:20:29,18,18.05.2026,apple
13,09:49:03,19,19.05.2026,food
21,09:49:45,19,19.05.2026,misc.
