1,1863.0,01.09.2026
2,1563.0,18.09.2026
3,1551.0,18.09.2026
4,1563.0,18.09.2026
5,-782.0,18.09.2026
6,1563.0,18.09.2026
7,1508.0,18.09.2026
8,1563.0,18.09.2026
9,1519.0,18.09.2026
10,1516.0,18.09.2026
11,1504.0,18.09.2026
12,1282.0,18.09.2026
13,1504.0,18.09.2026
14,1516.0,18.09.2026
15,1519.0,18.09.2026
16,1563.0,18.09.2026
17,1556.0,18.09.2026
18,1523.0,18.09.2026
19,1490.0,18.09.2026
20,1448.0,18.09.2026
21,1403.0,18.09.2026
22,1304.0,18.09.2026
23,1403.0,18.09.2026
24,1448.0,18.09.2026
25,781.0,18.09.2026
26,780.0,18.09.2026
27,778.0,18.09.2026
28,775.0,18.09.2026
29,771.0,18.09.2026
30,766.0,18.09.2026
31,760.0,18.09.2026
32,758.0,18.09.2026
33,746.0,18.09.2026
34,712.0,18.09.2026
35,705.0,18.09.2026
36,697.0,18.09.2026
